Province,District,LocalLevel
कोशी प्रदेश,भोजपुर,भोजपुर नगरपालिका
कोशी प्रदेश,भोजपुर,षडानन्द नगरपालिका
कोशी प्रदेश,भोजपुर,अरुण गाउँपालिका
कोशी प्रदेश,भोजपुर,आमचोक गाउँपालिका
कोशी प्रदेश,भोजपुर,हतुवागढी गाउँपालिका
कोशी प्रदेश,भोजपुर,पौवादुङमा गाउँपालिका
कोशी प्रदेश,भोजपुर,रामप्रसाद राई गाउँपालिका
कोशी प्रदेश,भोजपुर,साल्पासिलिछो गाउँपालिका
कोशी प्रदेश,भोजपुर,टेम्केमैयुङ गाउँपालिका
कोशी प्रदेश,धनकुटा,धनकुटा नगरपालिका
कोशी प्रदेश,धनकुटा,पाख्रिबास नगरपालिका
कोशी प्रदेश,धनकुटा,महालक्ष्मी नगरपालिका
कोशी प्रदेश,धनकुटा,साँगुरीगढी गाउँपालिका
कोशी प्रदेश,धनकुटा,सहिदभूमि गाउँपालिका
कोशी प्रदेश,धनकुटा,छथर जोरपाटी गाउँपालिका
कोशी प्रदेश,धनकुटा,चौबिसे गाउँपालिका
कोशी प्रदेश,इलाम,इलाम नगरपालिका
कोशी प्रदेश,इलाम,देउमाई नगरपालिका
कोशी प्रदेश,इलाम,सूर्योदय नगरपालिका
कोशी प्रदेश,इलाम,फिक्कल नगरपालिका
कोशी प्रदेश,इलाम,माई नगरपालिका
कोशी प्रदेश,इलाम,चुलाचुली गाउँपालिका
कोशी प्रदेश,इलाम,रोङ गाउँपालिका
कोशी प्रदेश,इलाम,माईजोगमाई गाउँपालिका
कोशी प्रदेश,इलाम,मंगलबारे गाउँपालिका
कोशी प्रदेश,इलाम,सन्दकपुर गाउँपालिका
...existing data for other provinces, districts, and local levels...